Transport-priority queuing ensures UL/DL URLLC packets are served ahead of eMBB traffic,<object> Transport-priority queuing <relationship> ensures <object> UL/DL URLLC packets are served ahead of eMBB traffic.,TransportPriorityQueuing,ensures,ULDLURLLCPacketsAreServedAheadOfEMBBTraffic,
Hard slicing uses dedicated resources per slice,<object> Hard slicing <relationship> uses <object> dedicated resources per slice.,HardSlicing,uses,DedicatedResourcesPerSlice,
Reliability and latency goals for URLLC are modeled via resource block reservation,<object> Reliability and latency goals for URLLC <relationship> are modeled via <object> resource block reservation.,ReliabilityAndLatencyGoalsForURLLC,areModeledVia,ResourceBlockReservation,
QoS enforcement spans RAN,<object> QoS enforcement <relationship> spans <object> RAN.,QoSEnforcement,spans,RAN,
QoS enforcement spans transport,<object> QoS enforcement <relationship> spans <object> transport.,QoSEnforcement,spans,Transport,
QoS enforcement spans core layers,<object> QoS enforcement <relationship> spans <object> core layers.,QoSEnforcement,spans,CoreLayers,
"Spanning RAN, transport, and core layers ensures consistent SLA adherence","<object> Spanning RAN, transport, and core layers <relationship> ensures <object> consistent SLA adherence.",SpanningRANTransportAndCoreLayers,ensures,ConsistentSLAAdherence,
QoS Flow is tagged with unique 4-bit QFI,<object> QoS Flow <relationship> is tagged with <object> unique 4-bit QFI.,QoSFlow,isTaggedWith,Unique4BitQFI,
QoS Flows are classified as GBR,<object> QoS Flows <relationship> are classified as <object> GBR.,QoSFlows,areClassifiedAs,GBR,
UPF applies Packet Detection Rules (PDRs),<object> UPF <relationship> applies <object> Packet Detection Rules (PDRs).,UPF,applies,PacketDetectionRulesPDRs,
UE applies QoS rules,<object> UE <relationship> applies <object> QoS rules.,UE,applies,QoSRules,
Applying PDRs and QoS rules maps packets to QoS flows at the NAS layer,<object> Applying PDRs and QoS rules <relationship> maps <object> packets to QoS flows at the NAS layer.,ApplyingPDRsAndQoSRules,maps,PacketsToQoSFlowsAtTheNASLayer,
Packet filters use IP addresses,<object> Packet filters <relationship> use <object> IP addresses.,PacketFilters,use,IPAddresses,
Packet filters use ports,<object> Packet filters <relationship> use <object> ports.,PacketFilters,use,Ports,
Packet filters use protocols,<object> Packet filters <relationship> use <object> protocols.,PacketFilters,use,Protocols,
Packet filters use Ethernet tags,<object> Packet filters <relationship> use <object> Ethernet tags.,PacketFilters,use,EthernetTags,
"Using IP addresses, ports, protocols, and Ethernet tags enables packet classification","<object> Using IP addresses, ports, protocols, and Ethernet tags <relationship> enables <object> packet classification.",UsingIPAddressesPortsProtocolsAndEthernetTags,enables,PacketClassification,
Kubernetes-based control plane orchestration benefits from stateless NF design,<object> Kubernetes-based control plane orchestration <relationship> benefits from <object> stateless NF design.,KubernetesBasedControlPlaneOrchestration,benefitsFrom,StatelessNFDesign,
Stateless NF design enables auto-replacement of crashed pods,<object> Stateless NF design <relationship> enables <object> auto-replacement of crashed pods.,StatelessNFDesign,enables,AutoReplacementOfCrashedPods,
Multiple QoS flows can share a DRB,<object> Multiple QoS flows <relationship> can share <object> a DRB.,MultipleQoSFlows,canShare,DRB,
Sharing a DRB requires aligned service requirements,<object> Sharing a DRB <relationship> requires <object> aligned service requirements.,SharingADRB,requires,AlignedServiceRequirements,
SMF configures QoS flows,<object> SMF <relationship> configures <object> QoS flows.,SMF,configures,QoSFlows,
SMF distributes QoS rules to UE via N1,<object> SMF <relationship> distributes QoS rules to UE via <object> N1.,SMF,distributesQoSRulesToUEVia,N1,
QoS control spans NAS classification,<object> QoS control <relationship> spans <object> NAS classification.,QoSControl,spans,NASClassification,
QoS control spans SDAP mapping,<object> QoS control <relationship> spans <object> SDAP mapping.,QoSControl,spans,SDAPMapping,
QoS control spans GTP-U marking,<object> QoS control <relationship> spans <object> GTP-U marking.,QoSControl,spans,GTPUMarking,
NAS classification enforces consistent end-to-end service quality,<object> NAS classification <relationship> enforces <object> consistent end-to-end service quality.,NASClassification,enforces,ConsistentEndToEndServiceQuality,
SDAP mapping enforces consistent end-to-end service quality,<object> SDAP mapping <relationship> enforces <object> consistent end-to-end service quality.,SDAPMapping,enforces,ConsistentEndToEndServiceQuality,
GTP-U marking enforces consistent end-to-end service quality,<object> GTP-U marking <relationship> enforces <object> consistent end-to-end service quality.,GTPUMarking,enforces,ConsistentEndToEndServiceQuality,
5G mandates support for 5G-AKA,<object> 5G <relationship> mandates support for <object> 5G-AKA.,5G,mandatesSupportFor,5GAKA,
5G mandates support for EAP-AKA′,<object> 5G <relationship> mandates support for <object> EAP-AKA′.,5G,mandatesSupportFor,EAPAKA,
5G-AKA provides unified authentication,<object> 5G-AKA <relationship> provides <object> unified authentication.,5GAKA,provides,UnifiedAuthentication,
5G-AKA provides access-agnostic authentication,<object> 5G-AKA <relationship> provides <object> access-agnostic authentication.,5GAKA,provides,AccessAgnosticAuthentication,
EAP-TLS can be used as secondary authentication method,<object> EAP-TLS <relationship> can be used as <object> secondary authentication method.,EAPTLS,canBeUsedAs,SecondaryAuthenticationMethod,
Secondary authentication method is used in private deployments,<object> Secondary authentication method <relationship> is used in <object> private deployments.,SecondaryAuthenticationMethod,isUsedIn,PrivateDeployments,
AUSF anchors security key KSEAF,<object> AUSF <relationship> anchors <object> security key KSEAF.,AUSF,anchors,SecurityKeyKSEAF,
Anchoring security key KSEAF occurs during initial authentication,<object> Anchoring security key KSEAF <relationship> occurs during <object> initial authentication.,AnchoringSecurityKeyKSEAF,occursDuring,InitialAuthentication,
AUSF supplies authentication vectors,<object> AUSF <relationship> supplies <object> authentication vectors.,AUSF,supplies,AuthenticationVectors,
UDM/ARPF stores subscriber credentials,<object> UDM/ARPF <relationship> stores <object> subscriber credentials.,UDMARPF,stores,SubscriberCredentials,
UDM/ARPF supports authentication via AKA framework,<object> UDM/ARPF <relationship> supports <object> authentication via AKA framework.,UDMARPF,supports,AuthenticationViaAKAFramework,
All SBA APIs must use mutual TLS,<object> All SBA APIs <relationship> must use <object> mutual TLS.,AllSBAAPIs,mustUse,MutualTLS,
Mutual TLS requires client certificates,<object> Mutual TLS <relationship> requires <object> client certificates.,MutualTLS,requires,ClientCertificates,
Mutual TLS requires server certificates,<object> Mutual TLS <relationship> requires <object> server certificates.,MutualTLS,requires,ServerCertificates,
All SBA APIs are often coupled with OAuth authorization,<object> All SBA APIs <relationship> are often coupled with <object> OAuth authorization.,AllSBAAPIs,areOftenCoupledWith,OAuthAuthorization,
IPsec tunnels (NWu/NWt) protect NAS signaling,<object> IPsec tunnels (NWu/NWt) <relationship> protect <object> NAS signaling.,IPsecTunnelsNWuNWt,protect,NASSignaling,
IPsec tunnels (NWu/NWt) operate over non-3GPP access,<object> IPsec tunnels (NWu/NWt) <relationship> operate over <object> non-3GPP access.,IPsecTunnelsNWuNWt,operateOver,Non3GPPAccess,
Optional NULL encryption is used for trusted networks,<object> Optional NULL encryption <relationship> is used for <object> trusted networks.,OptionalNULLEncryption,isUsedFor,TrustedNetworks,
SEPP secures inter-PLMN signaling on N32,<object> SEPP <relationship> secures <object> inter-PLMN signaling on N32.,SEPP,secures,InterPLMNSignalingOnN32,
Securing inter-PLMN uses TLS,<object> Securing inter-PLMN <relationship> uses <object> TLS.,SecuringInterPLMN,uses,TLS,
IPUPS secures N9 GTP-U traffic between UPFs,<object> IPUPS <relationship> secures <object> N9 GTP-U traffic between UPFs.,IPUPS,secures,N9GTPUTrafficBetweenUPFs,
IPUPS uses IPsec-based filtering,<object> IPUPS <relationship> uses <object> IPsec-based filtering.,IPUPS,uses,IPsecBasedFiltering,
NSSAAF enables slice-level authentication,<object> NSSAAF <relationship> enables <object> slice-level authentication.,NSSAAF,enables,SliceLevelAuthentication,
Slice-level authentication uses EAP-based credentials,<object> Slice-level authentication <relationship> uses <object> EAP-based credentials.,SliceLevelAuthentication,uses,EAPBasedCredentials,
EAP-based credentials are used for each network slice,<object> EAP-based credentials <relationship> are used for <object> each network slice.,EAPBasedCredentials,areUsedFor,EachNetworkSlice,
Zero-Trust security demands explicit flow definitions,<object> Zero-Trust security <relationship> demands <object> explicit flow definitions.,ZeroTrustSecurity,demands,ExplicitFlowDefinitions,
Zero-Trust security demands strict policies,<object> Zero-Trust security <relationship> demands <object> strict policies.,ZeroTrustSecurity,demands,StrictPolicies,
Zero-Trust security demands continuous monitoring,<object> Zero-Trust security <relationship> demands <object> continuous monitoring.,ZeroTrustSecurity,demands,ContinuousMonitoring,
Slice management interfaces leverage OAuth,<object> Slice management interfaces <relationship> leverage <object> OAuth.,SliceManagementInterfaces,leverage,OAuth,
Slice management interfaces use mTLS,<object> Slice management interfaces <relationship> use <object> mTLS.,SliceManagementInterfaces,use,MTLS,
OAuth provides access control,<object> OAuth <relationship> provides <object> access control.,OAuth,provides,AccessControl,
UE identity is encrypted as SUCI,<object> UE identity <relationship> is encrypted as <object> SUCI.,UEIdentity,isEncryptedAs,SUCI,
SIDF coordinates to authenticate UE,<object> SIDF <relationship> coordinates to authenticate <object> UE.,SIDF,coordinatesToAuthenticate,UE,
UDM/ARPF coordinates to authenticate UE,<object> UDM/ARPF <relationship> coordinates to authenticate <object> UE.,UDMARPF,coordinatesToAuthenticate,UE,
AUSF coordinates to authenticate UE,<object> AUSF <relationship> coordinates to authenticate <object> UE.,AUSF,coordinatesToAuthenticate,UE,
SEAF coordinates to authenticate UE,<object> SEAF <relationship> coordinates to authenticate <object> UE.,SEAF,coordinatesToAuthenticate,UE,
SEAF coordinates to manage key derivation,<object> SEAF <relationship> coordinates to manage <object> key derivation.,SEAF,coordinatesToManage,KeyDerivation,
UDM/ARPF coordinates to manage key derivation,<object> UDM/ARPF <relationship> coordinates to manage <object> key derivation.,UDMARPF,coordinatesToManage,KeyDerivation,
AUSF coordinates to manage key derivation,<object> AUSF <relationship> coordinates to manage <object> key derivation.,AUSF,coordinatesToManage,KeyDerivation,
SIDF coordinates to manage key derivation,<object> SIDF <relationship> coordinates to manage <object> key derivation.,SIDF,coordinatesToManage,KeyDerivation,
5G key hierarchy includes KAUSF,<object> 5G key hierarchy <relationship> includes <object> KAUSF.,5GKeyHierarchy,includes,KAUSF,
5G key hierarchy includes KSEAF,<object> 5G key hierarchy <relationship> includes <object> KSEAF.,5GKeyHierarchy,includes,KSEAF,
5G authentication session establishes multiple security contexts,<object> 5G authentication session <relationship> establishes <object> multiple security contexts.,5GAuthenticationSession,establishes,MultipleSecurityContexts,
Security contexts span different access types,<object> Security contexts <relationship> span <object> different access types.,SecurityContexts,span,DifferentAccessTypes,
EAP-AKA′ is a symmetric key-based EAP method,<object> EAP-AKA′ <relationship> is <object> symmetric key-based EAP method.,EAPAKA,is,SymmetricKeyBasedEAPMethod,
SUPI encryption enhances privacy,<object> SUPI encryption <relationship> enhances <object> privacy.,SUPIEncryption,enhances,Privacy,
5G-AKA is a mandatory primary authentication protocol across N1 interface,<object> 5G-AKA <relationship> is <object> mandatory primary authentication protocol across N1 interface.,5GAKA,is,MandatoryPrimaryAuthenticationProtocolAcrossN1Interface,
EAP enables unified authentication,<object> EAP <relationship> enables <object> unified authentication.,EAP,enables,UnifiedAuthentication,
N1 interface must be protected using IPsec over non-3GPP access,<object> N1 interface <relationship> must be protected using IPsec over <object> non-3GPP access.,N1Interface,mustBeProtectedUsing,IPsecOverNon3GPPAccess,
N12 interface requires mutual TLS,<object> N12 interface <relationship> requires <object> mutual TLS.,N12Interface,requires,MutualTLS,
Authentication exchanges can be secure,<object> Authentication exchanges <relationship> can be <object> secure.,AuthenticationExchanges,canBe,Secure,
Non-3GPP access requires IPsec tunnels,<object> Non-3GPP access <relationship> requires <object> IPsec tunnels.,Non3GPPAccess,requires,IPsecTunnels,
Wi-Fi is a form of Non-3GPP access,<object> Wi-Fi <relationship> is <object> form of Non-3GPP access.,WiFi,is,FormOfNon3GPPAccess,
UE establishes IPsec signaling SA,<object> UE <relationship> establishes <object> IPsec signaling SA.,UE,establishes,IPsecSignalingSA,
IPsec signaling SA is established with N3IWF,<object> IPsec signaling SA <relationship> is established with <object> N3IWF.,IPsecSignalingSA,isEstablishedWith,N3IWF,
User-plane over Wi-Fi uses separate IPsec child SAs,<object> User-plane over Wi-Fi <relationship> uses <object> separate IPsec child SAs.,UserPlaneOverWiFi,uses,SeparateIPsecChildSAs,
Separate IPsec child SAs are established after PDU session establishment,<object> Separate IPsec child SAs <relationship> are established after <object> PDU session establishment.,SeparateIPsecChildSAs,areEstablishedAfter,PDUSessionEstablishment,
Trusted WLAN setups use layer-2 authentication,<object> Trusted WLAN setups <relationship> use <object> layer-2 authentication.,TrustedWLANSetups,use,Layer2Authentication,
Layer-2 authentication is followed by IPsec signaling SA,<object> Layer-2 authentication <relationship> is followed by <object> IPsec signaling SA.,Layer2Authentication,isFollowedBy,IPsecSignalingSA,
Wi-Fi-only devices without USIM rely on certificate-based EAP-TLS,<object> Wi-Fi-only devices without USIM <relationship> rely on <object> certificate-based EAP-TLS.,WiFiOnlyDevicesWithoutUSIM,relyOn,CertificateBasedEAPTLS,
Wi-Fi-only devices without USIM rely on certificate-based EAP-TTLS,<object> Wi-Fi-only devices without USIM <relationship> rely on <object> certificate-based EAP-TTLS.,WiFiOnlyDevicesWithoutUSIM,relyOn,CertificateBasedEAPTTLS,
Certificate-based EAP-TLS/EAP-TTLS is used in private SNPN environments,<object> Certificate-based EAP-TLS/EAP-TTLS <relationship> is used in <object> private SNPN environments.,CertificateBasedEAPTLSEAPTTLS,isUsedIn,PrivateSNPNEnvironments,
ATSSS enables steering of traffic between 3GPP,<object> ATSSS <relationship> enables steering of traffic between <object> 3GPP.,ATSSS,enables,SteeringOfTrafficBetween,3GPP
ATSSS enables steering of traffic between Wi-Fi,<object> ATSSS <relationship> enables steering of traffic between <object> Wi-Fi.,ATSSS,enables,SteeringOfTrafficBetween,WiFi
ATSSS enables splitting of traffic between 3GPP,<object> ATSSS <relationship> enables splitting of traffic between <object> 3GPP.,ATSSS,enables,SplittingOfTrafficBetween,3GPP
ATSSS enables splitting of traffic between Wi-Fi,<object> ATSSS <relationship> enables splitting of traffic between <object> Wi-Fi.,ATSSS,enables,SplittingOfTrafficBetween,WiFi
Steering or splitting of traffic is based on central policy,<object> Steering or splitting of traffic <relationship> is based on <object> central policy.,SteeringOrSplittingOfTraffic,isBasedOn,CentralPolicy,
NAS messages over Wi-Fi rely on TCP/IP transport,<object> NAS messages over Wi-Fi <relationship> rely on <object> TCP/IP transport.,NASMessagesOverWiFi,relyOn,TCPIPTransport,
"Integration of EAP-5G, IKEv2, and IPsec ensures secure control-plane transport","<object> Integration of EAP-5G, IKEv2, and IPsec <relationship> ensures <object> secure control-plane transport.",IntegrationOfEAP5GIKEv2AndIPsec,ensures,SecureControlPlaneTransport,
Primary authentication in industrial 5G mandates use of 5G-AKA,<object> Primary authentication in industrial 5G <relationship> mandates use of <object> 5G-AKA.,PrimaryAuthenticationInIndustrial5G,mandatesUseOf,5GAKA,
Primary authentication in industrial 5G mandates use of EAP-AKA,<object> Primary authentication in industrial 5G <relationship> mandates use of <object> EAP-AKA.,PrimaryAuthenticationInIndustrial5G,mandatesUseOf,EAPAKA,
Primary authentication in industrial 5G mandates use of EAP-TLS,<object> Primary authentication in industrial 5G <relationship> mandates use of <object> EAP-TLS.,PrimaryAuthenticationInIndustrial5G,mandatesUseOf,EAPTLS,
5G-AKA verifies device identity,<object> 5G-AKA <relationship> verifies <object> device identity.,5GAKA,verifies,DeviceIdentity,
EAP-AKA verifies device identity,<object> EAP-AKA <relationship> verifies <object> device identity.,EAPAKA,verifies,DeviceIdentity,
EAP-TLS verifies device identity,<object> EAP-TLS <relationship> verifies <object> device identity.,EAPTLS,verifies,DeviceIdentity,
Secondary EAP authentication enables access to external services,<object> Secondary EAP authentication <relationship> enables <object> access to external services.,SecondaryEAPAuthentication,enables,AccessToExternalServices,
Secondary EAP authentication enables access to slice-specific networks,<object> Secondary EAP authentication <relationship> enables <object> access to slice-specific networks.,SecondaryEAPAuthentication,enables,AccessToSliceSpecificNetworks,
Access to external services uses alternate credentials,<object> Access to external services <relationship> uses <object> alternate credentials.,AccessToExternalServices,uses,AlternateCredentials,
UDM/HSS securely stores USIM credentials,<object> UDM/HSS <relationship> securely stores <object> USIM credentials.,UDMHSS,securelyStores,USIMCredentials,
UDM/HSS supports provisioning workflows for industrial devices,<object> UDM/HSS <relationship> supports <object> provisioning workflows for industrial devices.,UDMHSS,supports,ProvisioningWorkflowsForIndustrialDevices,
SIM provisioning in industrial environments requires secure lifecycle procedures,<object> SIM provisioning in industrial environments <relationship> requires <object> secure lifecycle procedures.,SIMProvisioningInIndustrialEnvironments,requires,SecureLifecycleProcedures,
Industrial RAN requires IPsec tunnels,<object> Industrial RAN <relationship> requires <object> IPsec tunnels.,IndustrialRAN,requires,IPsecTunnels,
IPsec tunnels protect NAS signaling,<object> IPsec tunnels <relationship> protect <object> NAS signaling.,IPsecTunnels,protects,NASSignaling,
IPsec tunnels protect data-plane,<object> IPsec tunnels <relationship> protect <object> data-plane.,IPsecTunnels,protects,DataPlane,
IPsec tunnels include SPI protections,<object> IPsec tunnels <relationship> include <object> SPI protections.,IPsecTunnels,include,SPIProtections,
NWu is an IPsec tunnel,<object> NWu <relationship> is <object> IPsec tunnel.,NWu,is,IPsecTunnel,
Industrial 5G prioritizes availability over confidentiality,<object> Industrial 5G <relationship> prioritizes <object> availability over confidentiality.,Industrial5G,prioritizes,AvailabilityOverConfidentiality,
Industrial 5G prioritizes deterministic latency over confidentiality,<object> Industrial 5G <relationship> prioritizes <object> deterministic latency over confidentiality.,Industrial5G,prioritizes,DeterministicLatencyOverConfidentiality,
Prioritizing availability and deterministic latency over confidentiality supports maintaining real-time control,<object> Prioritizing availability and deterministic latency over confidentiality <relationship> supports <object> maintaining real-time control.,PrioritizingAvailabilityAndDeterministicLatencyOverConfidentiality,supports,MaintainingRealTimeControl,
TSN traffic must be mapped into 5G slices,<object> TSN traffic <relationship> must be mapped into <object> 5G slices.,TSNTraffic,mustBeMappedInto,5GSlices,
TSN traffic mapping into 5G slices requires real-time scheduling,<object> TSN traffic mapping into 5G slices <relationship> requires <object> real-time scheduling.,TSNTrafficMappingInto5GSlices,requires,RealTimeScheduling,
TSN traffic mapping into 5G slices requires IPsec security,<object> TSN traffic mapping into 5G slices <relationship> requires <object> IPsec security.,TSNTrafficMappingInto5GSlices,requires,IPsecSecurity,
TSN traffic mapping into 5G slices is used for industrial applications,<object> TSN traffic mapping into 5G slices <relationship> is used for <object> industrial applications.,TSNTrafficMappingInto5GSlices,isUsedFor,IndustrialApplications,
Industrial 5G must mitigate wireless-specific threats,<object> Industrial 5G <relationship> must mitigate <object> wireless-specific threats.,Industrial5G,mustMitigate,WirelessSpecificThreats,
Wireless-specific threats include jamming,<object> Wireless-specific threats <relationship> include <object> jamming.,WirelessSpecificThreats,include,Jamming,
Wireless-specific threats include spoofing,<object> Wireless-specific threats <relationship> include <object> spoofing.,WirelessSpecificThreats,include,Spoofing,
Mitigation of wireless-specific threats is achieved via hardened SIM provisioning,<object> Mitigation of wireless-specific threats <relationship> is achieved via <object> hardened SIM provisioning.,MitigationOfWirelessSpecificThreats,isAchievedVia,HardenedSIMProvisioning,
Slice-specific EAP authentication is critical for multiple industrial operations sharing the same 5G infrastructure,<object> Slice-specific EAP authentication <relationship> is <object> critical for multiple industrial operations sharing the same 5G infrastructure.,SliceSpecificEAPAuthentication,is,CriticalForMultipleIndustrialOperationsSharingTheSame5GInfrastructure,
Network telemetry is collected via a monitoring interface,<object> Network telemetry <relationship> is collected via <object> monitoring interface.,NetworkTelemetry,isCollectedVia,MonitoringInterface,
Consumer-facing interface accepts user intent,<object> Consumer-facing interface <relationship> accepts <object> user intent.,ConsumerFacingInterface,accepts,UserIntent,
User intent is defined via 3GPP TS-28.312 intent schemas,<object> User intent <relationship> is defined via <object> 3GPP TS-28.312 intent schemas.,UserIntent,isDefinedVia,3GPPTS28312IntentSchemas,
Use cases include IoT aggregation,<object> Use cases <relationship> include <object> IoT aggregation.,UseCases,include,IoTAggregation,
Use cases include V2X QoS,<object> Use cases <relationship> include <object> V2X QoS.,UseCases,include,V2XQoS,
IoT aggregation use case demonstrates intent-driven slice creation,<object> IoT aggregation use case <relationship> demonstrates <object> intent-driven slice creation.,IoTAggregationUseCase,demonstrates,IntentDrivenSliceCreation,
V2X QoS use case demonstrates intent-driven slice creation,<object> V2X QoS use case <relationship> demonstrates <object> intent-driven slice creation.,V2XQoSUseCase,demonstrates,IntentDrivenSliceCreation,
IoT aggregation use case demonstrates intent-driven SLA enforcement end-to-end,<object> IoT aggregation use case <relationship> demonstrates <object> intent-driven SLA enforcement end-to-end.,IoTAggregationUseCase,demonstrates,IntentDrivenSLAEnforcementEndToEnd,
V2X QoS use case demonstrates intent-driven SLA enforcement end-to-end,<object> V2X QoS use case <relationship> demonstrates <object> intent-driven SLA enforcement end-to-end.,V2XQoSUseCase,demonstrates,IntentDrivenSLAEnforcementEndToEnd,
Intent drives slice creation,<object> Intent <relationship> drives <object> slice creation.,Intent,drives,SliceCreation,
Intent drives SLA enforcement end-to-end,<object> Intent <relationship> drives <object> SLA enforcement end-to-end.,Intent,drives,SLAEnforcementEndToEnd,
Intent is decoupled from execution,<object> Intent <relationship> is <object> decoupled from execution.,Intent,isDecoupledFrom,Execution,
Intent operations include create,<object> Intent operations <relationship> include <object> create.,IntentOperations,include,Create,
Intent operations include modify,<object> Intent operations <relationship> include <object> modify.,IntentOperations,include,Modify,
Intent operations include query,<object> Intent operations <relationship> include <object> query.,IntentOperations,include,Query,
Intent operations include delete,<object> Intent operations <relationship> include <object> delete.,IntentOperations,include,Delete,
Intent operations include activate,<object> Intent operations <relationship> include <object> activate.,IntentOperations,include,Activate,
Intent operations include deactivate,<object> Intent operations <relationship> include <object> deactivate.,IntentOperations,include,Deactivate,
Intent operations manage intent lifecycle states,<object> Intent operations <relationship> manage <object> intent lifecycle states.,IntentOperations,manage,IntentLifecycleStates,
Managing intent lifecycle states applies to each intent operation,<object> Managing intent lifecycle states <relationship> applies to <object> each intent operation.,ManagingIntentLifecycleStates,appliesTo,EachIntentOperation,
Intent content includes expectations,<object> Intent content <relationship> includes <object> expectations.,IntentContent,includes,Expectations,
Expectations include throughput targets,<object> Expectations <relationship> include <object> throughput targets.,Expectations,include,ThroughputTargets,
Expectations include area coverage,<object> Expectations <relationship> include <object> area coverage.,Expectations,include,AreaCoverage,
Intent content is linked to context objects,<object> Intent content <relationship> is linked to <object> context objects.,IntentContent,isLinkedTo,ContextObjects,
TR 28.912 enhances TS 28.312,<object> TR 28.912 <relationship> enhances <object> TS 28.312.,TR28912,enhances,TS28312,
TR 28.912 provides verification reports,<object> TR 28.912 <relationship> provides <object> verification reports.,TR28912,provides,VerificationReports,
Intent expectations can include energy savings targets,<object> Intent expectations <relationship> can include <object> energy savings targets.,IntentExpectations,canInclude,EnergySavingsTargets,
Intent expectations can include service performance metrics,<object> Intent expectations <relationship> can include <object> service performance metrics.,IntentExpectations,canInclude,ServicePerformanceMetrics,
Energy savings targets are balanced against service performance metrics,<object> Energy savings targets <relationship> are balanced against <object> service performance metrics.,EnergySavingsTargets,areBalancedAgainst,ServicePerformanceMetrics,
Release 19 (TR 28.914) extends intent models,<object> Release 19 (TR 28.914) <relationship> extends <object> intent models.,Release19TR28914,extends,IntentModels,
RadioNetworkExpectation includes coverageAreaPolygon,<object> RadioNetworkExpectation <relationship> includes <object> coverageAreaPolygon.,RadioNetworkExpectation,includes,CoverageAreaPolygon,
Network intents are high-level objectives,<object> Network intents <relationship> are <object> high-level objectives.,NetworkIntents,are,HighLevelObjectives,
Conflict detection mechanisms identify overlapping intents,<object> Conflict detection mechanisms <relationship> identify <object> overlapping intents.,ConflictDetectionMechanisms,identify,OverlappingIntents,
Conflict detection mechanisms identify contradictory intents,<object> Conflict detection mechanisms <relationship> identify <object> contradictory intents.,ConflictDetectionMechanisms,identify,ContradictoryIntents,
Identifying overlapping or contradictory intents requires resolution rules,<object> Identifying overlapping or contradictory intents <relationship> requires <object> resolution rules.,IdentifyingOverlappingOrContradictoryIntents,requires,ResolutionRules,
Use cases include slice provisioning,<object> Use cases <relationship> include <object> slice provisioning.,UseCases,include,SliceProvisioning,
Use cases include indoor positioning,<object> Use cases <relationship> include <object> indoor positioning.,UseCases,include,IndoorPositioning,
Use cases include service deployment,<object> Use cases <relationship> include <object> service deployment.,UseCases,include,ServiceDeployment,
Use cases were benchmarked for provisioning latency,<object> Use cases <relationship> were benchmarked for <object> provisioning latency.,UseCases,wereBenchmarkedFor,ProvisioningLatency,
Slice is a customer SLA-backed end-to-end logical network,<object> Slice <relationship> is <object> customer SLA-backed end-to-end logical network.,Slice,is,CustomerSLABackedEndToEndLogicalNetwork,
Slices comprise dedicated resources,<object> Slices <relationship> comprise <object> dedicated resources.,Slices,comprise,DedicatedResources,
Slices comprise shared resources,<object> Slices <relationship> comprise <object> shared resources.,Slices,comprise,SharedResources,
Dedicated and shared resources must be logically isolated from one another,<object> Dedicated and shared resources <relationship> must be <object> logically isolated from one another.,DedicatedAndSharedResources,mustBe,LogicallyIsolatedFromOneAnother,
Business bundles allow operators to combine multiple slice types under a unified SLA,<object> Business bundles <relationship> allow <object> operators to combine multiple slice types under a unified SLA.,BusinessBundles,allow,OperatorsToCombineMultipleSliceTypesUnderAUnifiedSLA,
Operators combine URLLC and eMBB slice types,<object> Operators <relationship> combine <object> URLLC and eMBB slice types.,Operators,combine,URLLCAndEMBBSliceTypes,
Combination of multiple slice types occurs under a unified SLA,<object> Combination of multiple slice types <relationship> occurs under <object> unified SLA.,CombinationOfMultipleSliceTypes,occursUnder,UnifiedSLA,
Generic Slice Templates define attribute domains,<object> Generic Slice Templates <relationship> define <object> attribute domains.,GenericSliceTemplates,define,AttributeDomains,
Attribute domains include latency range,<object> Attribute domains <relationship> include <object> latency range.,AttributeDomains,include,LatencyRange,
Attribute domains include reliability targets,<object> Attribute domains <relationship> include <object> reliability targets.,AttributeDomains,include,ReliabilityTargets,
Attribute domains apply to network slices,<object> Attribute domains <relationship> apply to <object> network slices.,AttributeDomains,applyTo,NetworkSlices,
Network Slice Type instantiates Generic Slice Template (GST),<object> Network Slice Type <relationship> instantiates <object> Generic Slice Template (GST).,NetworkSliceType,instantiates,GenericSliceTemplateGST,
Network Slice Type applies specific values tailored to a vertical use case’s requirements,<object> Network Slice Type <relationship> applies <object> specific values tailored to a vertical use case’s requirements.,NetworkSliceType,applies,SpecificValuesTailoredToAVerticalUseCasesRequirements,
"Slices can span RAN, Core, and Transport domains","<object> Slices <relationship> can span <object> RAN, Core, and Transport domains.",Slices,canSpan,RANDCoreAndTransportDomains,
Slices can be shared across multiple operators,<object> Slices <relationship> can be shared across <object> multiple operators.,Slices,canBeSharedAcross,MultipleOperators,
Sharing slices across multiple operators supports roaming,<object> Sharing slices across multiple operators <relationship> supports <object> roaming.,SharingSlicesAcrossMultipleOperators,supports,Roaming,
Operators publish standardized slice blueprints,<object> Operators <relationship> publish <object> standardized slice blueprints.,Operators,publish,StandardizedSliceBlueprints,
Standardized slice blueprints are published to visited PLMNs,<object> Standardized slice blueprints <relationship> are published to <object> visited PLMNs.,StandardizedSliceBlueprints,arePublishedTo,VisitedPLMNs,
Slice customization is capped by GST/NEST,<object> Slice customization <relationship> is capped by <object> GST/NEST.,SliceCustomization,isCappedBy,GSTNEST,
Use cases like V2X and industrial IoT require elasticity,<object> V2X and industrial IoT use cases <relationship> require <object> elasticity.,V2XAndIndustrialIoTUseCases,require,Elasticity,
Use cases like V2X and industrial IoT require strict traffic isolation from slices,<object> V2X and industrial IoT use cases <relationship> require <object> strict traffic isolation from slices.,V2XAndIndustrialIoTUseCases,require,StrictTrafficIsolationFromSlices,
Regulatory models must handle neutrality,<object> Regulatory models <relationship> must handle <object> neutrality.,RegulatoryModels,mustHandle,Neutrality,
